job_id,job_title,location,work_mode,tech_stack,salary,key_responsibilities
JOB-10001,Junior Software Engineer,"London, UK",Remote,"Go, gRPC, Docker, GCP",,"Write clean, tested, and maintainable code; Optimize performance and reliability; Build and maintain scalable applications"
JOB-10002,Principal Platform Engineer,"New York, NY, USA",Remote,"Python, Django, PostgreSQL, AWS","$140,000-$160,000",Review pull requests and mentor team members; Collaborate with product and design teams; Design and implement APIs and services
JOB-10003,Principal Full Stack Engineer,"Sydney, Australia",Onsite,"Vue.js, Node.js, MongoDB","$140,000-$160,000",Participate in architecture discussions; Collaborate with product and design teams; Review pull requests and mentor team members
JOB-10004,Junior Node.js Developer,"San Francisco, CA, USA",Onsite,"C#, .NET, Azure, SQL Server","$140,000-$180,000","Optimize performance and reliability; Write clean, tested, and maintainable code; Collaborate with product and design teams"
JOB-10005,Mid-Level Node.js Developer,"Berlin, Germany",Remote,"Python, Django, PostgreSQL, AWS",,"Participate in architecture discussions; Build and maintain scalable applications; Write clean, tested, and maintainable code"
JOB-10006,Junior React Developer,"São Paulo, Brazil",Onsite,"Python, Django, PostgreSQL, AWS","$100,000-$140,000",Participate in architecture discussions; Build and maintain scalable applications; Design and implement APIs and services
JOB-10007,Principal Full Stack Engineer,"Austin, TX, USA",Remote,"Go, gRPC, Docker, GCP","$100,000-$140,000",Design and implement APIs and services; Build and maintain scalable applications; Collaborate with product and design teams
JOB-10008,Senior QA Automation Engineer,"Sydney, Australia",Hybrid,"Java, Spring Boot, Kafka, Kubernetes","$60,000-$110,000","Optimize performance and reliability; Write clean, tested, and maintainable code; Collaborate with product and design teams"
JOB-10009,Senior React Developer,"Sydney, Australia",Onsite,"Python, Django, PostgreSQL, AWS",,"Write clean, tested, and maintainable code; Design and implement APIs and services; Optimize performance and reliability"
JOB-10010,Staff Platform Engineer,"London, UK",Onsite,"Vue.js, Node.js, MongoDB","$80,000-$110,000","Review pull requests and mentor team members; Optimize performance and reliability; Write clean, tested, and maintainable code"
JOB-10011,Junior Node.js Developer,"Berlin, Germany",Hybrid,"React Native, TypeScript, Firebase","$60,000-$90,000",Collaborate with product and design teams; Monitor production systems and resolve issues; Design and implement APIs and services
JOB-10012,Staff Platform Engineer,"Sydney, Australia",Hybrid,"Java, Spring Boot, Kafka, Kubernetes","$100,000-$130,000",Design and implement APIs and services; Collaborate with product and design teams; Participate in architecture discussions
JOB-10013,Principal Data Engineer,"London, UK",Onsite,"Rust, PostgreSQL, AWS",,Participate in architecture discussions; Design and implement APIs and services; Review pull requests and mentor team members
JOB-10014,Mid-Level Data Engineer,"São Paulo, Brazil",Remote,"React, TypeScript, Node.js, PostgreSQL","$100,000-$130,000",Collaborate with product and design teams; Monitor production systems and resolve issues; Optimize performance and reliability
JOB-10015,Principal Frontend Engineer,"Lisbon, Portugal",Hybrid,"Rust, PostgreSQL, AWS","$80,000-$130,000","Monitor production systems and resolve issues; Design and implement APIs and services; Write clean, tested, and maintainable code"
JOB-10016,Junior Site Reliability Engineer,Remote - Americas,Hybrid,"Next.js, Tailwind CSS, GraphQL","$140,000-$160,000","Collaborate with product and design teams; Write clean, tested, and maintainable code; Review pull requests and mentor team members"
JOB-10017,Mid-Level QA Automation Engineer,"New York, NY, USA",Onsite,"React Native, TypeScript, Firebase",,"Write clean, tested, and maintainable code; Design and implement APIs and services; Build and maintain scalable applications"
JOB-10018,Mid-Level DevOps Engineer,"San Francisco, CA, USA",Onsite,"Vue.js, Node.js, MongoDB","$100,000-$130,000","Build and maintain scalable applications; Design and implement APIs and services; Write clean, tested, and maintainable code"
JOB-10019,Junior Cloud Engineer,"Berlin, Germany",Hybrid,"Go, gRPC, Docker, GCP","$120,000-$140,000",Build and maintain scalable applications; Collaborate with product and design teams; Design and implement APIs and services
JOB-10020,Staff Python Developer,"Austin, TX, USA",Onsite,"Java, Spring Boot, Kafka, Kubernetes","$60,000-$80,000","Write clean, tested, and maintainable code; Optimize performance and reliability; Review pull requests and mentor team members"
JOB-10021,Principal Backend Engineer,"London, UK",Onsite,"Rust, PostgreSQL, AWS",,Participate in architecture discussions; Collaborate with product and design teams; Design and implement APIs and services
JOB-10022,Staff Site Reliability Engineer,"Sydney, Australia",Hybrid,"Python, FastAPI, Redis, Docker","$80,000-$120,000",Monitor production systems and resolve issues; Build and maintain scalable applications; Collaborate with product and design teams
JOB-10023,Senior Software Engineer,Remote - Global,Onsite,"Go, gRPC, Docker, GCP","$80,000-$100,000",Review pull requests and mentor team members; Build and maintain scalable applications; Participate in architecture discussions
JOB-10024,Junior Cloud Engineer,"New York, NY, USA",Hybrid,"Python, Django, PostgreSQL, AWS","$60,000-$90,000","Review pull requests and mentor team members; Write clean, tested, and maintainable code; Optimize performance and reliability"
JOB-10025,Staff Full Stack Engineer,Remote - Americas,Remote,"Rust, PostgreSQL, AWS",,Monitor production systems and resolve issues; Collaborate with product and design teams; Review pull requests and mentor team members
